"","planner.setup","domain","planner","time","problem","re_opened","expanded_nodes","duplicates","dead_ends","evaluated_states","solved","heuristic_time","plan_length","planning_time","priority_queue_size","lp_invocations","plan_cost","duration","configuration"
"63","sssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,159993,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup sssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"64","ssnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,17127,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"65","sssinp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup sssinp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"66","ssnp_opt","../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl",NA,NA,NA,NA,56773,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl"
"67","sssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup sssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"68","ssrnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,119993,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup ssrnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"69","ssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"70","ssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,159993,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"71","ssrnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup ssrnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"72","sssinp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,159993,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup sssinp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"76","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/lin_instances/instance_1.pddl",0,0,0,0,0,FALSE,0,NA,0.375,0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/lin_instances/instance_1.pddl"
"78","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl",0,0,0,0,0,FALSE,0,NA,0.383,0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl"
"81","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl"
"82","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0.501,0,5,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"83","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl"
"87","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl"
"89","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl",0,0,0,0,0,FALSE,0,NA,0.392,0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl"
"90","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0.527,0,5,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"93","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl"
"94","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0.385,0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"96","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0.38,0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"97","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl"
"102","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl"
"105","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"108","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl"
"109","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"110","hmnp_sat","../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl"
"117","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl",0,0,0,0,0,FALSE,0,NA,0.714,0,0,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl"
"132","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,65,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"133","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1",NA,NA,NA,NA,24,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1"
"134","hp_all","../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl",NA,NA,NA,NA,176541,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hp_all domain ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl"
"135","easy_opt","../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl",NA,NA,NA,NA,1760972,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl"
"136","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl",NA,NA,NA,NA,19596,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl"
"137","hp_all","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1",NA,NA,NA,NA,11643,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hp_all domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1"
"138","easy_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1",NA,NA,NA,NA,682032,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1"
"139","easy_opt","../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl",NA,NA,NA,NA,225961,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl"
"140","ssnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl",NA,NA,NA,NA,629827,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl"
"141","hp_all","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,16728,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hp_all domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"142","hp_all","../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl",NA,NA,NA,NA,50787,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hp_all domain ../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl"
"143","easy_opt","../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl",NA,NA,NA,NA,1283619,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl"
"144","easy_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,1251956,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"159","hp_rp","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,119993,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hp_rp domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"160","hp_rp","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,NA,"planner.setup hp_rp domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
