"","planner.setup","domain","planner","time","problem","re_opened","expanded_nodes","duplicates","dead_ends","evaluated_states","solved","heuristic_time","plan_length","planning_time","priority_queue_size","lp_invocations","plan_cost","configuration"
"30","sssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,79993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup sssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"31","ssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"32","sssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,119993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup sssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"33","ssnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,119993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"35","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0.384,0,0,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"51","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl",0,0,0,0,0,FALSE,0,NA,0.415,0,0,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl"
"57","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl",0,0,0,0,0,FALSE,0,NA,0.739,0,0,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl"
"62","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0.428,0,0,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"63","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/lin_instances/instance_1.pddl",0,0,0,0,0,FALSE,0,NA,0.398,0,0,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/lin_instances/instance_1.pddl"
"68","easy_opt","../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl",0,0,0,0,0,FALSE,0,NA,0.4,0,0,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl"
"87","ssnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1",NA,NA,NA,NA,8426,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1"
"88","sssinp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,119993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup sssinp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"89","easy_opt","../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl",NA,NA,NA,NA,117944,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl"
"90","ssnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,13629,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"91","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,81,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"92","ssrnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssrnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"93","easy_opt","../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl",NA,NA,NA,NA,1506665,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl"
"94","sssinp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup sssinp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"95","easy_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1",NA,NA,NA,NA,820583,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1"
"96","easy_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,1168341,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
"97","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1",NA,NA,NA,NA,15,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1"
"98","easy_opt","../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl",NA,NA,NA,NA,964976,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup easy_opt domain ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl"
"99","ssnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl",NA,NA,NA,NA,460510,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl"
"100","ssrnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,79993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssrnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"101","ssnp_opt","../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl",NA,NA,NA,NA,56773,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup ssnp_opt domain ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl"
"107","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl"
"108","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl"
"109","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl"
"111","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl"
"112","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"115","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/hvac/processes_encoding_multiple_goals/instances/instance_1_1.pddl"
"117","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"118","hmnp_sat","../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/torricelli_pouring/instance_1_1.pddl"
"121","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/convoys_mt/instances/instance_01.pddl"
"125","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/domain_nl.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/generator_durative/non_lin_instances/instance_1.pddl"
"127","hmnp_opt","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0.489,0,5,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"128","hmnp_sat","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",0,0,0,0,0,FALSE,0,NA,0.497,0,5,NA,"planner.setup hmnp_sat domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"154","hp_rp","../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,39993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hp_rp domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_nonlinear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"155","hp_rp","../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl","enhsp",20,"../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl",NA,NA,NA,NA,79993,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hp_rp domain ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/domain.pddl problem ../benchmarks/pddlplus/pddl_autonomous_processes/car_linear_mt_sc/instances/instance_1_30.0_0.1_10.0.pddl"
"156","hp_all","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1",NA,NA,NA,NA,11129,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hp_all domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/NumRover.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Rover-Numeric/pfile1"
"157","hp_all","../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl",NA,NA,NA,NA,117285,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hp_all domain ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/farmland/ladder_graph/instance_2_100_1229_scale.pddl"
"158","hmnp_opt","../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl",NA,NA,NA,NA,19596,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hmnp_opt domain ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/mt-plant-watering-no-grid/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/plant-watering/gridless_formulation/instances/mt-plant-watering-constrained/instance_4_1.pddl"
"159","hp_all","../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl",NA,NA,NA,NA,50787,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hp_all domain ../benchmarks/pddlplus/seq_num_planning/sailing/domain.pddl problem ../benchmarks/pddlplus/seq_num_planning/sailing/medium_instances/instance_1_1_1229.pddl"
"160","hp_all","../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl","enhsp",20,"../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1",NA,NA,NA,NA,13381,FALSE,NA,NA,NA,NA,NA,NA,"planner.setup hp_all domain ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/DepotsNum.pddl problem ../benchmarks/pddlplus/seq_num_planning/ipc_benchmarks/Depots-Numeric/pfile1"
